VARIABLES= "X", "Y", "Z","P"
5.60367 5.08815 2.63009 0.0119792
5.73354 4.55247 3.23169 0.0112304
5.52232 4.34076 2.99308 0.0142415
4.19183 6.05019 0.673227 0.00722837
4.17237 3.3901 2.32304 0.053246
3.42192 3.59985 2.36697 0.101451
4.07844 4.45783 2.23581 0.0525478
4.48975 3.89371 2.78234 0.0424149
4.18968 3.67253 1.83733 0.0533348
4.46719 3.60082 2.0014 0.039096
5.34103 4.04867 2.13409 0.0175725
2.41283 2.71652 0.28065 0.0508424
3.21256 3.93928 1.16386 0.0950682
3.25592 4.07731 0.978425 0.0733414
3.80836 3.50913 2.22877 0.0773353
4.1086 3.97897 0.152559 0.00449215
4.30989 3.95909 2.32737 0.0505401
4.10044 4.00335 1.95739 0.0585947
3.71652 4.48996 1.31448 0.0535113
4.06001 3.561 1.64516 0.0592603
3.42809 3.82583 1.77885 0.0883193
4.36334 3.60182 2.35196 0.0463901
3.77758 3.97369 1.24627 0.0598236
4.20156 3.9245 1.25875 0.0423346
4.34668 3.64069 2.79062 0.0524032
3.2051 5.21977 3.56738 0.0760025
4.87593 5.91352 0.984283 0.00750187
4.51827 4.70298 0.865858 0.0162517
3.76638 4.26004 2.09653 0.0725568
3.00685 4.43038 1.48273 0.108176
3.28859 4.04728 2.02761 0.105275
3.43526 3.84875 2.21588 0.104396
