VARIABLES= "X", "Y", "Z","T"
1.50041 1.28831 0.608388 8.55707
1.74892 1.28581 0.534561 3.44693
1.75026 1.31528 0.554379 3.6474
1.68092 1.37636 0.461541 5.34825
1.19152 1.43317 0.0899461 27.3555
1.79121 1.28872 0.477577 2.96307
1.17811 1.41836 0.0559556 30.3987
1.78499 1.33306 0.439885 3.17489
1.32059 1.67731 0.565616 16.4874
1.26175 1.64891 0.63176 18.0023
1.2334 1.70962 0.666756 21.0771
1.29366 1.56251 0.708743 17.4438
1.55251 1.43946 0.379238 8.05346
1.45728 1.53758 0.605489 11.1305
1.33655 1.64489 0.649233 15.8689
1.3847 1.55077 0.623867 12.6507
1.44461 1.65945 0.431493 11.8314
1.40515 1.7107 0.685072 13.2839
1.49523 1.74945 0.635571 9.27648
1.46605 1.75113 0.665667 9.80661
1.44702 1.58034 0.69914 11.2133
1.25535 1.72646 0.494305 18.7875
1.24441 1.64228 0.575148 17.3503
1.27929 1.6815 0.487 17.3779
1.53484 1.79158 0.526366 7.8661
1.49035 1.80598 0.355775 9.50166
1.47198 1.86788 0.382789 7.86052
1.54204 1.81089 0.372603 6.94936
1.47191 1.89007 0.418521 7.84712
1.52648 1.89008 0.453617 6.47911
1.63814 1.97109 0.335277 1.26286
1.45486 1.80691 0.440128 10.0115
1.62647 1.3982 0.353667 5.77494
1.72198 1.37282 0.403745 4.10264
1.65445 1.41474 0.306708 4.8987
1.60331 1.91653 0.0954551 1.92093
1.76135 1.30138 0.259071 2.7064
1.74315 1.41354 0.374185 3.75612
1.66143 1.95613 0.254416 1.27465
1.68779 1.3926 0.273874 4.00548
1.76568 1.3836 0.335406 3.07148
1.68344 1.95383 0.35798 1.63391
1.30298 1.46713 0.0142629 4.90183
1.59996 1.42387 0.265763 5.37249
1.46442 1.27277 0.479185 9.43866
1.53097 1.37799 0.255477 7.41347
1.39752 1.27338 0.516209 12.3232
1.63155 1.31885 0.480864 6.07801
1.49514 1.24753 0.298628 7.22412
1.03267 1.80477 0.0332921 203.525
1.71658 1.95624 0.284418 1.0916
1.28865 1.8055 0.453247 20.5175
1.34603 1.6637 0.238944 17.2226
1.2618 1.67316 0.278575 20.1831
1.44716 1.54434 0.293188 10.5427
1.52246 1.63715 0.681435 8.52745
1.52779 1.28552 0.391676 7.90849
1.2501 1.71162 0.37339 19.583
1.30819 1.76273 0.388002 16.7284
1.2748 1.03751 0.0313616 5.2438
1.77294 1.42213 0.422371 3.40729
1.70015 1.41721 0.522048 5.4784
1.72169 1.39305 0.554693 4.70662
1.57594 1.36816 0.351131 6.5727
1.78795 1.60241 0.399095 2.84134
1.66208 1.48961 0.339231 5.16317
1.6179 1.31906 0.553144 6.65367
1.60952 1.50336 0.432163 6.57672
1.75013 1.59504 0.492015 3.7012
1.22654 1.06212 0.0399027 11.1417
1.77352 1.44619 0.458421 3.37123
