VARIABLES= "X", "Y", "Z","T"
1.78814 1 0.484911 0.59902
1.55769 1 0.338143 1.82477
1.12286 1 0.495458 42.4503
1.41034 1 0.487246 3.8213
1.5526 1 0.756866 1.88006
1.56144 1 0.425272 2.13223
1.49737 1 0.479083 3.05403
1.28232 1 0.267351 7.49469
1.26416 1 0.189101 7.67688
1.71032 1 0.710317 0.760633
1.73692 1 0.801802 0.659735
1.2677 1 0.719792 10.9038
1.18954 1 0.737065 22.6013
1.24539 1 0.801492 15.1685
1.8637 1 0.312444 0.423804
1.78942 1 0.33203 0.651162
1.24518 1 0.100294 9.55982
1.75659 1 0.894242 0.379197
1.64645 1 0.777571 0.997336
1.77547 1 0.643679 0.542261
1.10029 1 0.754822 1
1.5725 1 0.515013 1.69141
1.71721 1 0.308561 0.810082
1.50568 1 0.311561 2.36279
1.45048 1 0.263196 2.98981
1.83074 1 0.571574 0.454047
1.49646 1 0.055981 0.907085
1.49855 1 0.811365 2.50592
1.19728 1 0.497901 15.6702
1.05397 1 0.497241 1
1.86238 1 0.663233 0.336719
1.1779 1 0.150032 21.635
1.28968 1.71032 1 8.67115
1.30893 1.61619 1 6.76547
1.2227 1.64567 1 14.5624
1.08992 1.09939 1 1
1.9101 1.90059 1 0.209546
1.08554 1.91446 1 300
1.91446 1.08554 1 0.146244
1.0714 1.20223 1 1
1.05689 1.288 1 1
1.12815 1.2935 1 52.0757
1.92872 1.79752 1 0.25796
1.94357 1.71151 1 0.28628
1.87169 1.70582 1 0.417146
1.16154 1.83772 1 34.0808
1.16595 1.92808 1 35.995
1.24484 1.89199 1 15.1622
1.40733 1.91836 1 2.94001
1.30875 1.93236 1 7.41923
1.27674 1.36135 1 8.70881
1.18639 1.38061 1 23.7342
1.25448 1.4547 1 11.2301
1.08802 1.40597 1 1
1.50962 1.86596 1 1.83282
1.42536 1.82444 1 3.5121
1.32127 1.52278 1 6.82718
1.38033 1.58288 1 4.5837
1.4054 1.50781 1 4.73007
1.28627 1.06028 1 5.713
1.26339 1.80073 1 11.3708
1.13883 1.66735 1 55.8684
1.07862 1.59706 1 300
1.0668 1.69222 1 1
1.91238 1.59352 1 0.346056
1.81192 1.6172 1 0.537146
1.72105 1.63576 1 0.886323
1.74179 1.54082 1 0.76538
1.82687 1.5187 1 0.475961
1.88825 1.48691 1 0.377913
1.61542 1.90813 1 0.904617
1.70881 1.87471 1 0.625637
1.66103 1.81414 1 0.932927
1.83856 1.16217 1 0.362872
1.83405 1.07192 1 0.19865
1.75911 1.10685 1 0.350706
1.59407 1.08158 1 0.912015
1.69152 1.06763 1 0.466393
1.49315 1.13508 1 2.0363
1.57991 1.17593 1 1.25967
1.85875 1.33174 1 0.411341
1.9204 1.40334 1 0.317588
1.93431 1.30803 1 0.280784
1.74134 1.19705 1 0.557131
1.24767 1.19314 1 14.4978
1.19956 1.09445 1 24.6551
1.15628 1.19641 1 44.3964
1.3931 1.25597 1 4.40723
1.45219 1.3272 1 3.37666
1.4934 1.23399 1 2.43526
1.77444 1.3546 1 0.677837
1.8372 1.42302 1 0.432375
1.75251 1.80656 1 0.639153
1.80046 1.90554 1 0.340136
1.84374 1.80358 1 0.470519
1.11104 1.51289 1 56.4263
1.16078 1.57675 1 27.4521
1.60671 1.74391 1 1.36131
1.63141 1.65349 1 1.51774
1.5446 1.67485 1 2.292
1.36397 1.3447 1 4.96249
1.75356 1.44664 1 0.786467
1.68881 1.37595 1 1.16203
1.66908 1.4672 1 1.24008
1.92853 1.16564 1 0.238071
1.07168 1.83415 1 300
1.78497 1.7161 1 0.613046
1.21438 1.28289 1 18.4554
1.49535 1.05866 1 1.36002
1.6545 1.55894 1 1.36185
1.58126 1.47977 1 2.35423
1.56532 1.57891 1 2.49585
1.50597 1.94123 1 1.3547
1.46579 1.60304 1 3.34138
1.46894 1.69524 1 3.30286
1.41837 1.1791 1 3.57062
1.38589 1.09086 1 3.66296
1.5108 1.76831 1 2.16512
1.5834 1.82113 1 1.32618
1.17245 1.48067 1 20.9246
1.24157 1.54812 1 10.6549
1.42503 1.41818 1 3.761
1.51551 1.40511 1 2.79819
1.60472 1.39264 1 2.07991
1.49383 1.49804 1 3.52818
1.6963 1.72857 1 0.994949
1.33561 1.18522 1 6.42493
1.30267 1.2702 1 8.91696
1.19723 1.73676 1 24.1133
1.71404 1.28734 1 0.745713
1.80218 1.26374 1 0.549138
1.89424 1.24332 1 0.350506
1.62952 1.30854 1 1.11272
1.43325 1.75083 1 3.55404
1.35493 1.77091 1 5.50396
1.0553 1.504 1 1
1.10684 1.75564 1 1
1.57833 1.25186 1 1.54771
1.65188 1.22594 1 0.939931
1.54415 1.31929 1 2.15137
1.38598 1.67563 1 4.51848
1.33857 1.43499 1 5.93933
1.28903 1.12293 1 8.33629
1.71465 1.93919 1 0.39123
1.94439 1.49599 1 0.279702
1.6714 1.14235 1 0.77733
1.3321 1.85669 1 6.75499
1.4408 1.23426 0.404388 9.91596
1.45783 1.31348 0.371918 9.52167
1.42743 1.33541 0.489899 11.2938
1.55423 1.29793 0.484074 7.58659
1.64089 1.38929 0.583089 6.21468
1.47531 1.40891 0.53189 9.84212
1.58986 1.4004 0.45289 7.04387
1.69269 1.28192 0.542592 4.53486
1.62843 1.21459 0.55629 4.90404
1.58381 1.30709 0.60282 7.21032
1.56475 1.30722 0.349775 6.46318
1.44559 1.39567 0.438116 10.7144
1.14129 1.31228 0.733352 26.4983
1.24727 1.33871 0.804676 25.5468
1.23022 1.24667 0.804254 27.2874
1.27732 1.28369 0.711551 21.471
1.88409 1.93125 0.562931 0.784459
1.68941 1.29515 0.4439 4.41168
1.63336 1.22315 0.407399 4.71621
1.53436 1.22345 0.36094 6.77202
1.45892 1.67843 0.341296 11.2344
1.52673 1.5828 0.320427 8.63549
1.55152 1.58397 0.428868 8.32462
1.42656 1.59457 0.437499 12.0007
1.49122 1.49475 0.490998 10.013
1.38143 1.5202 0.396935 13.1343
1.35494 1.48258 0.515312 13.7132
1.30434 1.61339 0.449474 15.4858
1.31249 1.61225 0.331934 16.3112
1.6383 1.71107 0.942878 2.34896
1.43215 1.60193 0.546613 11.7343
1.4916 1.49419 0.390316 9.67233
1.31019 1.45801 0.427641 14.6834
1.06408 1.28126 0.380041 16.0765
1.40296 1.50356 0.294274 12.0174
1.40012 1.39906 0.341166 11.7577
1.41962 1.59435 0.341324 11.8134
1.58954 1.47223 0.633102 7.57153
1.58149 1.57784 0.580011 7.73418
1.68205 1.52441 0.658354 5.07735
1.59603 1.49447 0.515063 7.24424
1.69908 1.47076 0.439056 4.70213
1.62323 1.68151 0.691998 5.89586
1.49066 1.58403 0.648524 9.7479
